#AssemblyAccession	AssemblyName	Taxid	SpeciesName	AssemblyStatus
GCF_900660565.1	51334_A01-3	2099	Mesomycoplasma hyopneumoniae	Complete Genome
GCF_002128085.1	ASM212808v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_013367855.1	ASM1336785v1	2098	Metamycoplasma hominis	Complete Genome
GCF_006970285.1	ASM697028v1	40480	Mycoplasma capricolum	Complete Genome
GCF_013348745.1	ASM1334874v1	2742195	Mycoplasma sp. OR1901	Complete Genome
GCF_000393015.1	Ente_faec_T5_V1	1169293	Enterococcus faecalis	Scaffold
GCF_001272835.1	ASM127283v1	722438	Mycoplasmoides pneumoniae	Complete Genome
GCF_018309165.1	ASM1830916v1	1396	Bacillus cereus	Complete Genome
GCF_000524555.1	ASM52455v1	743966	Mesomycoplasma bovoculi	Complete Genome
GCF_001554075.1	ASM155407v1	2103	Mycoplasma mycoides	Complete Genome
GCF_002355715.1	ASM235571v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_001272735.1	ASM127273v1	1263758	Mycoplasmoides pneumoniae	Complete Genome
GCF_020497585.1	ASM2049758v1	519450	Mycoplasma anserisalpingitidis	Complete Genome
GCF_900476025.1	50465_E02	2148	Acholeplasma laidlawii	Complete Genome
GCF_900489525.1	MMC-glpK	40477	Mycoplasma mycoides	Complete Genome
GCF_900489595.1	MMC-glpF-glpU	40477	Mycoplasma mycoides	Complete Genome
GCF_002736285.1	ASM273628v1	86660	Mesomycoplasma dispar	Complete Genome
GCF_002127985.1	ASM212798v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_004771115.1	ASM477111v1	2096	Mycoplasmoides gallisepticum	Complete Genome
GCF_002128125.1	ASM212812v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_009946285.1	ASM994628v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000286775.1	ASM28677v1	1159202	Mycoplasmoides gallisepticum	Complete Genome
GCF_000203215.1	ASM20321v1	708248	Mycoplasma suis	Complete Genome
GCF_021460215.1	ASM2146021v1	2098	Metamycoplasma hominis	Complete Genome
GCF_000941075.1	ASM94107v1	86660	Mesomycoplasma dispar	Complete Genome
GCF_000020065.1	ASM2006v1	243272	Metamycoplasma arthritidis	Complete Genome
GCF_011464015.1	ASM1146401v1	40480	Mycoplasma capricolum	Complete Genome
GCF_000008225.1	ASM822v1	262722	Mesomycoplasma hyopneumoniae	Complete Genome
GCF_009942155.1	ASM994215v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_009941325.1	ASM994132v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_900489655.1	MMC-Mcap.dnaA	40477	Mycoplasma mycoides	Complete Genome
GCF_000953235.1	ILRI181.1	40480	Mycoplasma capricolum	Complete Genome
GCF_900660755.1	57792_F01-3	264636	Acholeplasma hippikon	Complete Genome
GCF_002096035.1	ASM209603v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_900660505.1	50861_E01-3	86660	Mesomycoplasma dispar	Complete Genome
GCF_000012765.1	ASM1276v1	340047	Mycoplasma capricolum	Complete Genome
GCF_013367895.1	ASM1336789v1	2098	Metamycoplasma hominis	Complete Genome
GCF_009939785.1	ASM993978v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000376625.1	ASM37662v1	1292033	Mycoplasma putrefaciens	Complete Genome
GCF_900660715.1	57675_H02-3	2111	Metamycoplasma arthritidis	Complete Genome
GCF_009947575.1	ASM994757v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_002205535.1	ASM220553v1	134821	Ureaplasma parvum	Complete Genome
GCF_001484045.1	ASM148404v1	1749074	Mycoplasma sp. (ex Biomphalaria glabrata)	Complete Genome
GCF_000800785.1	ASM80078v1	2103	Mycoplasma mycoides	Complete Genome
GCF_001272775.1	ASM127277v1	1263757	Mycoplasmoides pneumoniae	Complete Genome
GCF_000292445.1	ASM29244v1	662946	Mycoplasmoides genitalium	Complete Genome
GCF_001564435.1	ASM156443v1	2103	Mycoplasma mycoides	Complete Genome
GCF_000286715.1	ASM28671v1	1159199	Mycoplasmoides gallisepticum	Complete Genome
GCF_000238995.1	ASM23899v1	1111676	Mycoplasma haemocanis	Complete Genome
GCF_001554115.1	ASM155411v1	2103	Mycoplasma mycoides	Complete Genome
GCF_000828735.1	ASM82873v1	38504	Ureaplasma parvum	Complete Genome
GCF_009943805.1	ASM994380v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_003697165.2	ASM369716v2	866789	Escherichia coli	Complete Genome
GCF_900476125.1	50861_F01	45363	Metamycoplasma alkalescens	Complete Genome
GCF_000008405.1	ASM840v1	295358	Mesomycoplasma hyopneumoniae	Complete Genome
GCF_000286735.1	ASM28673v1	1159200	Mycoplasmoides gallisepticum	Complete Genome
GCF_009945535.1	ASM994553v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_900489625.1	MMC-glpO	40477	Mycoplasma mycoides	Complete Genome
GCF_009942395.1	ASM994239v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000875755.1	ASM87575v1	743967	Mycoplasma yeatsii	Complete Genome
GCF_000008365.1	ASM836v1	267748	[Mycoplasma] mobile	Complete Genome
GCF_012516495.1	ASM1251649v1	2725994	Mycoplasma sp. 1654_15	Complete Genome
GCF_002355695.1	ASM235569v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000023165.1	ASM2316v1	436113	Mycoplasma mycoides	Complete Genome
GCF_000281235.1	ASM28123v1	1212765	Candidatus Mycoplasma haematolamae	Complete Genome
GCF_013305285.1	ASM1330528v1	2102	Mycoplasma mycoides	Complete Genome
GCF_003269445.1	ASM326944v1	92401	Metamycoplasma cloacale	Complete Genome
GCF_001901705.1	ASM190170v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000286675.1	ASM28667v1	1159197	Mycoplasmoides gallisepticum	Complete Genome
GCF_000092585.1	ASM9258v1	710127	Mycoplasmoides gallisepticum	Complete Genome
GCF_001272715.1	ASM127271v1	1263761	Mycoplasmoides pneumoniae	Complete Genome
GCF_000477415.1	ASM47741v1	1403316	Mycoplasma parvum	Complete Genome
GCF_009939745.1	ASM993974v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000319655.1	v3	1233262	Mycoplasmoides pneumoniae	Contig
GCF_013367955.1	ASM1336795v1	2098	Metamycoplasma hominis	Complete Genome
GCF_013368035.1	ASM1336803v1	2098	Metamycoplasma hominis	Complete Genome
GCF_000025385.1	ASM2538v1	708616	Mycoplasmoides gallisepticum	Complete Genome
GCF_013371665.1	ASM1337166v1	2098	Metamycoplasma hominis	Complete Genome
GCF_002205735.1	ASM220573v1	134821	Ureaplasma parvum	Complete Genome
GCF_900660435.1	50465_D02-3	2121	Metamycoplasma orale	Complete Genome
GCF_000019345.1	ASM1934v1	505682	Ureaplasma parvum	Complete Genome
GCF_900489785.1	MMC-Mcap-oric-u-6-1	40477	Mycoplasma mycoides	Complete Genome
GCF_006970065.1	ASM697006v1	40480	Mycoplasma capricolum	Complete Genome
GCF_013368015.1	ASM1336801v1	2098	Metamycoplasma hominis	Complete Genome
GCF_000253075.1	ASM25307v1	862259	Mycoplasma mycoides	Complete Genome
GCF_000828855.1	ASM82885v1	29554	Metamycoplasma canadense	Complete Genome
GCF_000508245.1	ASM50824v1	1415773	Mycoplasma ovis	Complete Genome
GCF_000767725.1	ASM76772v1	1267000	Metamycoplasma hominis	Complete Genome
GCF_002128005.1	ASM212800v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_019873825.1	ASM1987382v1	2801918	Mycoplasma sp. E35C	Complete Genome
GCF_009939765.1	ASM993976v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_900476175.1	50648_D01	2123	Mycoplasma putrefaciens	Complete Genome
GCF_001558175.1	ASM155817v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000286755.1	ASM28675v1	1159201	Mycoplasmoides gallisepticum	Complete Genome
GCF_000733995.1	ASM73399v1	1441379	Mycoplasmoides pneumoniae	Complete Genome
GCF_009940965.1	ASM994096v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_002090275.1	ASM209027v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000313635.1	ASM31363v1	1118964	Mesomycoplasma hyorhinis	Complete Genome
GCF_002128235.1	ASM212823v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_013367975.1	ASM1336797v1	2098	Metamycoplasma hominis	Complete Genome
GCF_001267815.1	ASM126781v1	40477	Mycoplasma mycoides	Complete Genome
GCF_006228185.1	ASM622818v1	353852	Mycoplasma nasistruthionis	Complete Genome
GCF_013367915.1	ASM1336791v1	2098	Metamycoplasma hominis	Complete Genome
GCF_018406545.1	ASM1840654v1	2102	Mycoplasma mycoides	Complete Genome
GCF_016925555.1	ASM1692555v1	547987	Mycoplasma tauri	Complete Genome
GCF_009943205.1	ASM994320v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_003332325.1	ASM333232v1	142651	[Mycoplasma] phocae	Complete Genome
GCF_021383865.1	ASM2138386v1	2099	Mesomycoplasma hyopneumoniae	Complete Genome
GCF_900489575.1	MMC-glpU	40477	Mycoplasma mycoides	Complete Genome
GCF_900489565.1	MMC-glpF	40477	Mycoplasma mycoides	Complete Genome
GCF_000496815.1	ASM49681v1	634997	Mesomycoplasma hyorhinis	Complete Genome
GCF_008728915.1	ASM872891v1	2096	Mycoplasmoides gallisepticum	Complete Genome
GCF_002214445.1	ASM221444v1	29559	Metamycoplasma hyosynoviae	Complete Genome
GCF_001017595.1	ASM101759v1	2098	Metamycoplasma hominis	Complete Genome
GCF_009947985.1	ASM994798v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000292485.1	ASM29248v1	662945	Mycoplasmoides genitalium	Complete Genome
GCF_000400855.1	ASM40085v1	1116211	Mesomycoplasma hyopneumoniae	Complete Genome
GCF_006777105.1	ASM677710v1	2130	Ureaplasma urealyticum	Complete Genome
GCF_000286815.1	ASM28681v1	1159204	Mycoplasmoides gallisepticum	Complete Genome
GCF_000025845.1	ASM2584v1	512564	Mycoplasma crocodyli	Complete Genome
GCF_011464975.1	ASM1146497v1	40480	Mycoplasma capricolum	Complete Genome
GCF_002096015.1	ASM209601v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_001554155.1	ASM155415v1	2103	Mycoplasma mycoides	Complete Genome
GCF_011463995.1	ASM1146399v1	40480	Mycoplasma capricolum	Complete Genome
GCF_002009215.1	ASM200921v1	40480	Mycoplasma capricolum	Complete Genome
GCF_009942655.1	ASM994265v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000286795.1	ASM28679v1	1159203	Mycoplasmoides gallisepticum	Complete Genome
GCF_002128045.1	ASM212804v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000183185.1	ASM18318v1	907287	Mesomycoplasma hyopneumoniae	Complete Genome
GCF_012934855.1	ASM1293485v1	754517	Mycoplasma phocoenae	Complete Genome
GCF_009945165.1	ASM994516v1	2104	Mycoplasmoides pneumoniae	Complete Genome
GCF_000025365.1	ASM2536v1	710128	Mycoplasmoides gallisepticum	Complete Genome
GCF_006969105.1	ASM696910v1	40480	Mycoplasma capricolum	Complete Genome
GCF_000224105.1	ASM22410v1	743965	Mycoplasma putrefaciens	Complete Genome
